Word,Count
gapapa,6
sii,6
kmrn,6
nambah,6
emosi,6
konfirmasi,6
instagramnya,6
selfie,6
menonton,6
ulasan,6
hilangin,6
bnyak,6
justru,6
berjalan,6
menggangu,6
senang,6
ditambahkan,6
tulisannya,6
gila,6
spam,6
dri,6
iklannya,6
judol,6
cape,6
sebel,6
bngt,6
seharusnya,6
insta,6
ter,6
dr,6
sulit,6
link,6
rating,6
berbeda,6
buram,6
berfungsi,6
dipakai,6
smua,6
menambah,6
igtv,6
jawab,6
terdapat,6
nambahin,6
capek,6
kanan,6
pengajuan,6
ponsel,6
memenuhi,6
syarat,6
knpa,6
tadi,6
seluruh,6
kyk,6
following,6
menghilangkan,6
aq,6
publik,6
camera,6
sma,5
favorit,5
thanks,5
sendirinya,5
woi,5
draft,5
tinggal,5
tinggi,5
sebagian,5
bahwa,5
contohnya,5
dikasih,5
masak,5
bacaan,5
memo,5
selanjutnya,5
tunggu,5
satunya,5
kerja,5
kouta,5
oh,5
sebelah,5
selebihnya,5
lo,5
beneran,5
storynya,5
penggunanya,5
kagak,5
nyoba,5
ngasih,5
but,5
feeds,5
diliat,5
mw,5
keliatan,5
tempat,5
reelsnya,5
pemulihan,5
stiker,5
perbaikannya,5
ngikutin,5
merata,5
temanku,5
akhirnya,5
yakin,5
ukuran,5
blm,5
makasih,5
sebab,5
moment,5
terbuka,5
dlu,5
kira,5
bangettt,5
t,5
tertarik,5
termasuk,5
tolongg,5
setengah,5
tindakan,5
mengubah,5
nggk,5
artis,5
luar,5
unduh,5
snapgram,5
kodenya,5
dibatasi,5
laporan,5
merespon,5
berikan,5
terbarunya,5
setting,5
gapernah,5
tiga,5
pls,5
bagikan,5
tlong,5
bertahun,5
tsb,5
kepotong,5
panjang,5
ngapain,5
ama,5
kn,5
ikut,5
jernih,5
proses,5
ok,5
first,5
gmail,5
lho,5
sejauh,5
ditingkatkan,5
kasi,5
algoritma,5
dibaca,5
youtube,5
delay,5
isinya,5
sayangnya,5
masukan,5
utk,5
dongg,5
apalah,5
terduga,5
aturan,5
scrol,5
inii,5
berat,5
share,5
dia,5
menerima,5
butuh,5
lawan,5
emoji,5
plus,4
dipost,4
unfollow,4
seluler,4
kebuka,4
boleh,4
you,4
blank,4
pemilihan,4
grid,4
enggak,4
burem,4
sosmed,4
berkembang,4
burik,4
ntar,4
unggah,4
ganggu,4
canggih,4
bermain,4
sekedar,4
dipulihkan,4
gunanya,4
diberi,4
meminta,4
updatenya,4
slalu,4
membaik,4
menganggu,4
menarik,4
membagikan,4
bentuk,4
ngak,4
reals,4
merepotkan,4
berhari,4
note,4
best,4
jdinya,4
anehh,4
sempat,4
sebulan,4
maupun,4
ntah,4
dipencet,4
dpt,4
ngaco,4
kesimpen,4
y,4
logo,4
rasa,4
perhatikan,4
tampilannya,4
durasinya,4
diatur,4
akal,4
mlh,4
biasa,4
riwayat,4
tontonan,4
menu,4
ah,4
percuma,4
intinya,4
kesana,4
keganti,4
sepertinya,4
dicari,4
tekan,4
sepi,4
warna,4
hidup,4
sehari,4
siaran,4
bersama,4
ngetag,4
kosong,4
pengalaman,4
menggunakannya,4
dibenerin,4
samsek,4
kebawah,4
bbrpa,4
direspon,4
pindah,4
alami,4
perasaan,4
dibikin,4
teruss,4
tb,4
pedoman,4
aju,4
apknya,4
aslinya,4
bro,4
nnti,4
telepon,4
identitas,4
khusus,4
iphone,4
ampun,4
nyesel,4
sinyalnya,4
platform,4
antara,4
kelihatan,4
maksudnya,4
terbaik,4
contoh,4
terganggu,4
lumayan,4
bilang,4
igs,4
diedit,4
rata,4
berhasil,4
permintaan,4
bolak,4
mengunggah,4
mengenang,4
maka,4
siii,4
kebanyakan,4
pertimbangkan,4
kamu,4
pke,4
google,4
terdeteksi,4
the,4
pula,4
diarsipkan,4
kesulitan,4
biru,4
follback,4
lh,4
pulihkan,4
batasan,4
profesional,4
demi,4
sana,4
asli,4
komennya,4
mempermudah,4
jaya,4
make,4
sebuah,4
why,4
ngeselin,4
peraturan,4
kehilangan,4
sllu,4
gausah,4
